S.no.,Date,Open,High,Low,Close,neg,pos
161,2009-11-26,10442.6,10466.86,10326.1,10387.16,0.6445,0.3555
162,2009-11-27,10452.23,10452.23,10231.25,10309.92,0.678,0.322
163,2009-11-28,10381,10408.29,10247.27,10327.38,0.6804,0.3196
164,2009-11-29,10385.39,10386.32,10255.28,10336.11,0.6678,0.3322
165,2009-11-30,10309.77,10364.34,10263.29,10344.84,0.6547,0.3453
166,2009-12-01,10343.82,10501.28,10343.44,10471.58,0.6812,0.3188
167,2009-12-02,10470.44,10513.52,10421.47,10452.68,0.6896,0.3104
168,2009-12-03,10455.63,10507.63,10350.05,10366.15,0.6747,0.3253
169,2009-12-04,10368.57,10516.7,10311.81,10388.9,0.6733,0.3267
170,2009-12-05,10386.72,10480.15,10335.99,10389.51,0.6686,0.3314
171,2009-12-06,10386.79,10461.66,10348.09,10389.91,0.6629,0.3371
172,2009-12-07,10386.86,10443.16,10360.18,10390.11,0.6917,0.3083
173,2009-12-08,10385.42,10385.65,10249.84,10285.97,0.6612,0.3388
174,2009-12-09,10282.85,10342.27,10235.63,10337.05,0.6801,0.3199
175,2009-12-10,10336,10444.6,10335.77,10405.83,0.6807,0.3193
176,2009-12-11,10403.41,10484.05,10400.08,10471.5,0.6639,0.3361
177,2009-12-12,10437.35,10499.35,10435.68,10486.27,0.6583,0.3417
178,2009-12-13,10420.38,10491.7,10417.88,10478.89,0.6583,0.3417
179,2009-12-14,10471.28,10514.66,10471.28,10501.05,0.6885,0.3115
180,2009-12-15,10499.31,10499.31,10426.69,10452,0.6679,0.3321
181,2009-12-16,10449.81,10509.97,10427.59,10441.12,0.6919,0.3081
